Period,Samples,Individuals (computed),S(est),S(est) 95% CI Lower Bound,S(est) 95% CI Upper Bound,S(est) SD,S Mean (runs),Singletons Mean,Singletons SD (runs),Doubletons Mean,Doubletons SD (runs),Uniques Mean,Uniques SD (runs),Duplicates Mean,Duplicates SD (runs),ACE Mean,ACE  SD (runs),ICE Mean,ICE SD (runs),Chao 1 Mean,Chao 1 95% CI Lower Bound,Chao 1 95% CI Upper Bound,Chao 1 SD (analytical),Chao 2 Mean,Chao 2 95% CI Lower Bound,Chao 2 95% CI Upper Bound,Chao 2 SD (analytical),Jack 1 Mean,Jack 1 SD (analytical),Jack 2 Mean,Jack 2 SD (runs),Bootstrap Mean,Bootstrap  SD (runs),MMRuns Mean,MMMeans (1 run),Cole Rarefaction,Cole SD (analytical),Alpha Mean,Alpha SD (analytical),Shannon Mean,Shannon SD (runs),Shannon Exponential Mean,Shannon Exponential SD (runs),Simpson Inv Mean,Simpson Inv SD (runs)
Iron II,1,4.22,2.28,1.52,3.03,0.38,2.27,1.28,1.09,0.22,0.42,2.27,1.49,0,0,0,0,2.27,1.49,2.73,0,0,0,2.27,0,0,0.08,2.27,0,0,0,2.27,1.49,0,0,3.06,1.14,3648.93,141768.87,0.81,0.55,2.56,1.23,2.29,0.99
Iron II,2,8.44,3.73,2.69,4.77,0.53,3.36,1.65,1.27,0.46,0.73,2.58,1.49,0.78,0.86,0,0,9.5,9.21,4.26,0,0,0,4.42,0,0,0,4.65,0.78,4.65,2.25,4.01,1.91,5.35,10.31,4.41,1.06,1555.82,57414.39,0.95,0.47,2.85,1.18,2.54,1.02
Iron II,3,12.66,4.68,3.58,5.78,0.56,4.27,1.82,1.23,0.66,0.79,2.59,1.39,1.27,1.06,6.95,3.96,9.84,7.52,5.29,4.44,13.52,1.69,5.46,4.51,14.16,1.77,6,1.16,6.65,2.7,5.08,1.87,6.79,9.95,5.14,0.96,611.6,22366.53,1.13,0.35,3.29,1.07,2.82,0.91
Iron II,4,16.87,5.31,4.25,6.36,0.54,4.8,1.93,1.22,0.71,0.82,2.45,1.32,1.41,1.17,7.47,3.94,8.95,5.25,5.97,4.99,15.05,1.87,5.9,5.01,14.42,1.71,6.64,1.22,7.39,2.9,5.67,1.91,10.42,9.64,5.6,0.87,773.65,25958.62,1.21,0.35,3.54,1.13,2.99,0.97
Iron II,5,21.09,5.74,4.77,6.72,0.5,5.34,2.03,1.16,0.8,0.84,2.4,1.23,1.51,1.08,8.13,3.56,8.92,4.24,6.57,5.54,16.26,1.97,6.36,5.54,14.89,1.68,7.26,1.28,8.02,2.77,6.25,1.66,10.26,9.4,5.91,0.79,294.41,8818.79,1.29,0.27,3.75,0.97,3.08,0.85
Iron II,6,25.31,6.05,5.17,6.92,0.45,5.72,2.09,1.1,0.84,0.8,2.37,1.14,1.46,1.05,8.43,3.02,8.71,3,6.95,5.9,17.02,2.01,6.86,5.92,15.98,1.81,7.7,1.32,8.5,2.62,6.66,1.49,14.79,9.2,6.14,0.73,294.35,8818.67,1.32,0.25,3.87,0.95,3.14,0.84
Iron II,7,29.53,6.27,5.49,7.04,0.4,6.02,2.1,1.06,0.84,0.77,2.27,1.14,1.42,1.01,8.7,3.01,8.65,2.94,7.28,6.22,17.65,2.05,7.07,6.25,15.84,1.72,7.97,1.28,8.74,2.74,6.95,1.44,17.42,9.03,6.31,0.67,2.41,0.78,1.35,0.23,3.94,0.87,3.15,0.75
Iron II,8,33.75,6.43,5.76,7.11,0.34,6.27,2.06,1.04,0.94,0.76,2.18,1.1,1.41,0.93,8.82,2.93,8.51,2.62,7.41,6.46,17.14,1.9,7.21,6.48,15.5,1.6,8.18,1.26,8.91,2.71,7.19,1.36,20.07,8.89,6.44,0.62,2.38,0.72,1.37,0.2,4.01,0.8,3.17,0.72
Iron II,9,37.97,6.56,5.97,7.14,0.3,6.46,1.95,1.05,0.97,0.83,2.04,1.09,1.36,0.95,8.73,2.51,8.42,2.23,7.53,6.62,16.92,1.84,7.31,6.63,15.35,1.54,8.27,1.21,8.93,2.63,7.34,1.24,10.78,8.77,6.55,0.57,2.33,0.66,1.39,0.18,4.08,0.76,3.21,0.71
Iron II,10,42.19,6.65,6.15,7.15,0.26,6.56,1.77,1.05,1.06,0.84,1.82,1.09,1.43,0.91,8.54,2.52,8.16,2.05,7.44,6.71,15.41,1.57,7.27,6.74,14.12,1.32,8.2,1.12,8.64,2.72,7.38,1.25,44.82,8.66,6.64,0.52,2.26,0.62,1.4,0.17,4.1,0.7,3.22,0.67
Iron II,11,46.41,6.72,6.3,7.15,0.22,6.67,1.69,1.05,0.98,0.75,1.73,1.07,1.28,0.91,8.55,2.73,8.14,1.97,7.52,6.83,15.06,1.5,7.38,6.87,14.1,1.3,8.24,1.11,8.72,2.7,7.46,1.14,11.14,8.57,6.71,0.48,2.21,0.58,1.41,0.17,4.15,0.7,3.25,0.7
Iron II,12,50.62,6.79,6.44,7.13,0.18,6.76,1.57,1.01,1.03,0.73,1.59,1.04,1.23,0.85,8.45,2.41,8.02,1.84,7.41,6.9,13.86,1.27,7.36,6.94,13.37,1.17,8.22,1.06,8.61,2.62,7.5,1.13,10.07,8.49,6.77,0.43,2.17,0.55,1.42,0.16,4.18,0.67,3.27,0.66
Iron II,13,54.84,6.83,6.55,7.11,0.14,6.86,1.48,0.93,1,0.79,1.48,0.93,1.19,0.93,8.38,2.22,7.94,1.57,7.43,6.99,13.43,1.19,7.37,7.03,12.91,1.08,8.23,1.02,8.56,2.43,7.56,1.02,10.31,8.42,6.82,0.39,2.14,0.52,1.43,0.16,4.23,0.67,3.32,0.69
Iron II,14,59.06,6.87,6.66,7.09,0.11,6.93,1.38,0.94,1.07,0.79,1.38,0.94,1.18,0.91,8.41,3,7.91,1.66,7.42,7.06,12.67,1.05,7.39,7.09,12.38,0.99,8.21,0.98,8.46,2.43,7.6,1.02,9.72,8.36,6.86,0.35,2.1,0.5,1.43,0.15,4.24,0.64,3.32,0.67
Iron II,15,63.28,6.91,6.74,7.07,0.08,7,1.26,0.92,1.07,0.93,1.26,0.92,1.16,1.01,8.18,2.02,7.83,1.39,7.42,7.12,12.44,1,7.4,7.15,12.17,0.95,8.18,0.9,8.33,2.47,7.62,0.98,9.38,8.3,6.9,0.31,2.07,0.48,1.45,0.14,4.3,0.62,3.36,0.65
Iron II,16,67.5,6.93,6.82,7.05,0.06,7.07,1.26,0.92,1.07,0.96,1.26,0.92,1.13,1.03,8.29,2.03,7.91,1.35,7.48,7.2,12.46,0.99,7.46,7.22,12.24,0.95,8.25,0.9,8.43,2.38,7.69,0.94,9.15,8.25,6.92,0.27,2.05,0.47,1.45,0.14,4.31,0.62,3.37,0.65
Iron II,17,71.72,6.96,6.88,7.04,0.04,7.12,1.1,0.86,1.08,0.94,1.1,0.86,1.12,1,8.06,1.61,7.8,1.21,7.46,7.25,11.66,0.87,7.44,7.26,11.51,0.84,8.16,0.83,8.2,2.31,7.69,0.9,8.98,8.2,6.95,0.22,2.02,0.45,1.46,0.14,4.37,0.6,3.41,0.63
Iron II,18,75.94,6.97,6.93,7.02,0.02,7.19,1.12,0.87,1.03,0.95,1.12,0.87,1.07,1.01,8.17,1.64,7.9,1.24,7.54,7.3,11.76,0.89,7.53,7.31,11.59,0.85,8.25,0.84,8.35,2.27,7.76,0.88,8.87,8.16,6.97,0.18,2.01,0.44,1.47,0.14,4.38,0.59,3.43,0.63
Iron II,19,80.15,6.99,6.96,7.01,0.01,7.21,0.95,0.76,1.08,0.91,0.95,0.76,1.1,0.93,7.94,1.28,7.77,1.06,7.38,7.3,10.34,0.65,7.37,7.31,10.25,0.63,8.11,0.76,8.03,2.02,7.72,0.84,8.78,8.12,6.98,0.14,1.97,0.43,1.47,0.13,4.41,0.58,3.44,0.62
Iron II,20,84.37,7,6.99,7,0,7.26,0.95,0.77,1.05,0.94,0.95,0.77,1.07,0.96,8,1.34,7.82,1.1,7.44,7.34,10.42,0.67,7.43,7.35,10.33,0.65,8.16,0.76,8.11,2.08,7.77,0.85,8.71,8.08,6.99,0.09,1.95,0.42,1.48,0.13,4.41,0.57,3.44,0.61
Iron II,21,88.59,7,7,7,0,7.32,0.92,0.72,0.96,0.9,0.92,0.72,0.96,0.9,7.99,1.19,7.85,1,7.48,7.4,10.3,0.64,7.47,7.41,10.24,0.63,8.2,0.76,8.2,1.95,7.81,0.77,8.65,8.05,7,0.05,1.93,0.4,1.48,0.13,4.44,0.58,3.46,0.62
Iron II,22,92.81,7,7,7,0,7.37,0.91,0.73,0.97,0.87,0.91,0.73,0.97,0.87,8.06,1.21,7.9,1,7.52,7.45,10.22,0.62,7.51,7.45,10.16,0.61,8.24,0.75,8.23,1.91,7.85,0.75,8.6,8.01,0,0,1.92,0.4,1.48,0.12,4.43,0.56,3.45,0.61
Late Byzantine,1,19.99,2.64,1.14,4.15,0.77,2.97,0.85,0.97,0.63,0.65,2.97,2.08,0,0,0,0,2.97,2.08,3.23,0,0,0,2.97,0,0,0.07,2.97,0,0,0,2.97,2.08,0,0,5.26,1,347.7,18580.34,0.86,0.57,2.75,1.45,2.39,1.13
Late Byzantine,2,39.98,4.19,2.06,6.32,1.09,4.82,1.21,1.14,0.82,0.81,3.54,2.02,1.28,1.22,6.26,3.56,15.11,16.54,5.24,4.91,9.77,0.92,6.85,0,0,0,6.59,1.13,6.59,3.03,5.71,2.58,6.92,10.17,6.27,1.08,1.9,0.8,1.13,0.44,3.38,1.36,2.9,1.08
Late Byzantine,3,59.97,5.2,2.81,7.59,1.22,5.99,1.42,1.19,0.81,0.81,3.43,2.21,1.83,1.36,7.54,3.33,14.35,14.04,6.57,6.09,12.37,1.19,8.47,0,0,0,8.28,1.52,9.12,3.96,7.07,2.59,9.21,10.11,6.97,1.08,2.06,0.62,1.33,0.38,4.05,1.43,3.39,1.15
Late Byzantine,4,79.96,5.92,3.42,8.42,1.28,6.78,1.49,1.01,0.97,0.95,3.29,1.72,1.87,1.32,8.16,2.71,12.86,8.94,7.36,6.89,13.32,1.2,8.43,7.07,19.15,2.26,9.25,1.66,10.27,3.68,7.94,2.43,13.62,10.11,7.49,1.04,2.06,0.53,1.4,0.31,4.25,1.27,3.5,1.06
Late Byzantine,5,99.96,6.48,3.93,9.04,1.3,7.23,1.48,1.01,0.92,0.94,3.12,1.67,1.71,1.18,8.75,2.95,11.84,5.64,7.91,7.37,14.32,1.29,8.97,7.54,20.32,2.39,9.73,1.71,10.83,3.66,8.4,2.2,10.99,10.15,7.88,1.01,2.01,0.45,1.46,0.26,4.46,1.17,3.67,0.99
Late Byzantine,6,119.95,6.93,4.35,9.52,1.32,7.71,1.53,1.04,0.84,0.9,3.04,1.45,1.72,1.14,9.27,2.52,11.37,4.1,8.36,7.81,15.05,1.33,9.32,7.96,20.54,2.32,10.24,1.66,11.35,3.35,8.9,2.02,15.87,10.21,8.19,0.97,2.02,0.42,1.51,0.26,4.67,1.19,3.83,1.02
Late Byzantine,7,139.94,7.32,4.71,9.92,1.33,8.1,1.53,0.98,0.9,0.87,2.94,1.42,1.68,1.08,9.57,2.33,11.44,3.85,8.7,8.2,15.25,1.27,9.73,8.37,21.06,2.34,10.62,1.63,11.72,3.4,9.29,2,14.89,10.28,8.44,0.95,2.01,0.39,1.53,0.26,4.77,1.22,3.9,1.06
Late Byzantine,8,159.93,7.65,5.03,10.26,1.33,8.36,1.54,0.91,0.96,0.83,2.82,1.23,1.54,1.16,10.05,2.44,11.17,2.9,8.86,8.43,15.32,1.22,9.91,8.61,21,2.27,10.83,1.6,11.95,2.95,9.52,1.84,14.47,10.36,8.65,0.93,1.99,0.36,1.54,0.26,4.81,1.21,3.9,1.05
Late Byzantine,9,179.92,7.93,5.31,10.55,1.34,8.64,1.45,0.97,1.03,0.83,2.79,1.26,1.64,1.2,10.17,2.3,11.41,3.03,9.12,8.73,15.23,1.17,10.31,8.93,21.81,2.36,11.12,1.62,12.17,3.15,9.81,1.74,12.42,10.43,8.83,0.92,2,0.35,1.56,0.24,4.88,1.14,3.95,1
Late Byzantine,10,199.91,8.18,5.57,10.8,1.34,8.94,1.47,0.88,0.99,0.81,2.78,1.26,1.61,1.09,10.3,2.18,11.58,2.76,9.4,9.05,15.13,1.09,10.66,9.24,22.21,2.38,11.44,1.63,12.52,3.24,10.12,1.73,19.98,10.5,8.99,0.91,2.02,0.34,1.56,0.23,4.86,1.07,3.91,0.94
